flags,instruction,category,intent,response,instruction_es,response_es
BILM,where to notify of problems with sign-up?,ACCOUNT,registration_problems,"Glad you contacted to us regarding the problems you encountered during the sign-up process. We value your feedback and want to ensure a smooth experience for all our users. To notify us of any sign-up issues or problems, we recommend contacting our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Our dedicated support agents will be more than happy to assist you and gather all the necessary information to address the problem effectively. Rest assured, we take all sign-up issues seriously and are committed to resolving them promptly. We appreciate your patience and understanding as we work towards improving our sign-up process.",¿Dónde notificar sobre problemas con el registro?,"Nos alegra que te hayas puesto en contacto con nosotros respecto a los problemas que encontraste durante el proceso de registro. Valoramos tus comentarios y queremos asegurar una experiencia fluida para todos nuestros usuarios. Para notificarnos sobre cualquier inconveniente o problema en el registro, te recomendamos que contactes a nuestro equipo de atención al cliente. Están disponibles {{Horario de Atención al Cliente}} al {{Número de Teléfono de Atención al Cliente}} o a través del Chat en Vivo en nuestro sitio web en {{URL del Sitio Web}}. Nuestros agentes de soporte dedicados estarán más que felices de asistirte y recopilar toda la información necesaria para abordar el problema de manera efectiva. Ten la seguridad de que tomamos todos los problemas de registro en serio y estamos comprometidos a resolverlos rápidamente. Agradecemos tu paciencia y comprensión mientras trabajamos para mejorar nuestro proceso de registro."
BLZ,I am tring to see the early exit penalty,CANCEL,check_cancellation_fee,"Certainly! To view the early exit penalty, you can refer to the terms and conditions section of your account agreement. It will provide you with detailed information regarding any fees or penalties associated with canceling your account before the agreed-upon term. If you need further assistance, please don't hesitate to let me know.",Estoy tratando de ver la penalización por salida anticipada.,"¡Por supuesto! Para ver la penalización por salida anticipada, podés consultar la sección de términos y condiciones de tu acuerdo de cuenta. Allí encontrarás información detallada sobre cualquier cargo o penalización relacionada con la cancelación de tu cuenta antes del plazo acordado. Si necesitás más ayuda, no dudes en decírmelo."
BL,I have to check what hours I can reach customer assistance,CONTACT,contact_customer_service,"Honored to assist! I'm clued in that you're looking to find out the operating hours for contacting our customer assistance team. Our dedicated customer assistance is available from {{Customer Support Hours}}. Please feel free to reach out during these hours, and we'll be more than happy to assist you. Let me know if there's anything else I can help you with!",Tengo que verificar en qué horarios puedo acceder a la asistencia al cliente.,"¡Es un honor ayudar! Estoy al tanto de que querés averiguar el horario de atención para contactar a nuestro equipo de asistencia al cliente. Nuestro equipo de asistencia al cliente está disponible de {{Customer Support Hours}}. No dudes en comunicarte durante esos horarios, y estaremos más que felices de ayudarte. ¡Haceme saber si hay algo más en lo que pueda asistirte!"
BILSZ,do you shp to {{Delivery City}}?,DELIVERY,delivery_options,"To the beautiful city of {{Delivery City}}, our shipments eagerly make their way! You can definitely place an order with us and have it delivered to {{Delivery City}}. We offer a range of shipping options to ensure your convenience and satisfaction. Whether you prefer standard shipping, expedited shipping, or even overnight shipping, we have you covered. So feel free to explore our products, make your selection, and prepare to embrace the excitement of receiving your order in the renowned Emerald City. Should you have any further questions or need assistance with anything else, please don't hesitate to let me know. Happy shopping and seamless deliveries await you in {{Delivery City}}!",¿Hacen envíos a {{Delivery City}}?,"¡A la hermosa ciudad de {{Delivery City}}, nuestros envíos se dirigen con entusiasmo! Definitivamente podés hacer un pedido con nosotros y recibirlo en {{Delivery City}}. Ofrecemos una variedad de opciones de envío para asegurar tu comodidad y satisfacción. Ya sea que prefieras envío estándar, envío exprés o incluso envío nocturno, tenemos todo cubierto. Así que no dudes en explorar nuestros productos, hacer tu selección y prepararte para disfrutar la emoción de recibir tu pedido en la renombrada Ciudad Esmeralda. Si tenés alguna pregunta adicional o necesitás ayuda con algo más, no dudes en decírmelo. ¡Felices compras y entregas sin inconvenientes te esperan en {{Delivery City}}!"
BILW,how do I lodge a damn consumer reclamation?,FEEDBACK,complaint,"I'm very sorry to hear that you're frustrated and need assistance with lodging a consumer reclamation. We genuinely care about resolving any issues you may have. To ensure that your complaint is properly addressed, please provide me with some additional details such as the nature of the issue, any specific individuals involved, and any supporting documentation you may have. This will help us process your complaint more efficiently. We value your feedback and look forward to assisting you further in this matter.",¿Cómo hago para presentar una maldita reclamación de consumidor?,"Lamento mucho saber que estás frustrado y necesitas ayuda para presentar una reclamación como consumidor. Nos importa de verdad resolver cualquier problema que puedas tener. Para asegurarnos de que tu queja sea tratada adecuadamente, por favor proporcioname algunos detalles adicionales, como la naturaleza del problema, cualquier persona específica involucrada y cualquier documentación de apoyo que puedas tener. Esto nos ayudará a procesar tu queja de manera más eficiente. Valoramos tu opinión y esperamos poder ayudarte más en este asunto."
BLZ,I don't know what to do to locate the involice #85632,INVOICE,check_invoice,"I pick up what you're putting down, your uncertainty about how to locate the invoice with the number #{{Invoice Number}}. Rest assured, I'm here to guide you and provide you with the necessary steps. To begin, have you checked your email inbox for any email notifications or reminders regarding the invoice? You can also try logging into your account on our website and accessing the billing or invoices section, where you should be able to find the invoice you're looking for. If you still can't locate it, I recommend reaching out to our customer support team, as they will be able to assist you further in locating the invoice. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. Together, we will find a solution to help you locate your invoice successfully.",No sé qué hacer para localizar la factura #85632.,"Entiendo lo que estás diciendo, tu incertidumbre sobre cómo localizar la factura con el número #{{Número de Factura}}. Ten la seguridad de que estoy aquí para guiarte y proporcionarte los pasos necesarios. Para empezar, ¿has revisado tu bandeja de entrada de correo electrónico en busca de notificaciones o recordatorios sobre la factura? También podés intentar iniciar sesión en tu cuenta en nuestro sitio web y acceder a la sección de facturación o facturas, donde deberías poder encontrar la factura que estás buscando. Si aún no podés localizarla, te recomiendo que te pongas en contacto con nuestro equipo de atención al cliente, ya que ellos podrán ayudarte a encontrar la factura. Están disponibles {{Horario de Atención al Cliente}} al {{Número de Teléfono de Atención al Cliente}} o a través del Chat en Vivo en nuestro sitio web en {{URL del Sitio Web}}. Juntos, encontraremos una solución para ayudarte a localizar tu factura con éxito."
BIL,can you help me remove something from purchase {{Order Number}}?,ORDER,change_order,"We understand that you are looking for assistance in removing an item from your purchase with the order number {{Order Number}}. We apologize for any inconvenience caused. To better assist you, could you please provide us with the specific item you would like to remove? Once we have this information, we will promptly assist you in updating your purchase. Your satisfaction is our top priority, and we appreciate your patience and cooperation in resolving this matter.",¿Podés ayudarme a quitar algo de la compra {{Número de Orden}}?,"Entendemos que estás buscando ayuda para eliminar un artículo de tu compra con el número de orden {{Order Number}}. Pedimos disculpas por cualquier inconveniente causado. Para poder asistirte mejor, ¿podrías por favor indicarnos cuál es el artículo específico que te gustaría eliminar? Una vez que tengamos esta información, te ayudaremos rápidamente a actualizar tu compra. Tu satisfacción es nuestra máxima prioridad, y agradecemos tu paciencia y colaboración para resolver este asunto."
BL,help me see your allowed payment modalities,PAYMENT,check_payment_methods,"Thank you for reaching out! I'm here to provide you with all the necessary information about our allowed payment methods. Here is a comprehensive list of the payment modalities we offer:

1. Credit/Debit Card: We accept major cards like Visa, Mastercard, and American Express, ensuring a convenient and secure payment experience.
2. PayPal: A widely recognized and trusted online payment platform that guarantees a seamless transaction process.
3. Bank Transfer: You have the option to make a direct payment from your bank account, ensuring hassle-free transactions.
4. Apple Pay: An effortless payment method exclusively designed for Apple users.
5. Google Wallet: Google's payment system that allows for quick and easy checkouts.

We aim to provide you with a diverse range of payment options to suit your preferences. If you have any further questions or need assistance with any of these payment methods, please feel free to let me know.",ayudame a ver tus modalidades de pago permitidas.,"¡Gracias por ponerte en contacto! Estoy aquí para brindarte toda la información necesaria sobre nuestros métodos de pago permitidos. Aquí tienes una lista completa de las modalidades de pago que ofrecemos:

1. Tarjeta de Crédito/Débito: Aceptamos las principales tarjetas como Visa, Mastercard y American Express, asegurando una experiencia de pago conveniente y segura.
2. PayPal: Una plataforma de pago en línea ampliamente reconocida y confiable que garantiza un proceso de transacción sin inconvenientes.
3. Transferencia Bancaria: Tienes la opción de realizar un pago directo desde tu cuenta bancaria, asegurando transacciones sin complicaciones.
4. Apple Pay: Un método de pago sin esfuerzo diseñado exclusivamente para usuarios de Apple.
5. Google Wallet: El sistema de pago de Google que permite pagos rápidos y sencillos.

Nuestro objetivo es ofrecerte una amplia gama de opciones de pago para adaptarnos a tus preferencias. Si tienes alguna pregunta adicional o necesitas ayuda con alguno de estos métodos de pago, no dudes en decírmelo."
BL,I need to check in which cases can I ask for a reimbursement,REFUND,check_refund_policy,"Of course! I completely understand your need to familiarize yourself with the cases in which you can request a reimbursement. Allow me to shed light on this for you.

When it comes to reimbursements, there are a few common scenarios in which you may be eligible:

1. **Product/Service Defect:** If the product or service you purchased has a defect or doesn't match the description, you usually have the option to request a reimbursement.

2. **Cancellation within Grace Period:** Should you change your mind about a purchase within the specified grace period, you can typically ask for a reimbursement.

3. **Unauthorized Charges:** If you come across any charges on your account that you didn't authorize or recognize, we're here to assist you in investigating and potentially securing a reimbursement.

4. **Event Cancellation:** We understand the disappointment of having an event you've purchased tickets for be canceled. In cases where the event doesn't get rescheduled, you may be eligible for a reimbursement.

5. **Duplicate Charges:** Mistakes happen, and if you notice duplicate charges for the same item, please notify us so that we can correct the issue and potentially provide a reimbursement.

6. **Non-receipt of Goods:** If you haven't received your purchased item within the expected timeframe, you may qualify for a reimbursement.

It's important to note that each vendor or service provider might have their specific refund policies, so it's advisable to review their terms and conditions or reach out to them directly for further information. If you have any concerns regarding a specific order or need assistance with a potential reimbursement request, please provide me with the necessary details, such as the order number, and I'll be more than happy to assist you further.

Remember, our goal is to ensure your satisfaction and provide helpful guidance throughout your journey. How else may I be of assistance to you today?",Necesito verificar en qué casos puedo solicitar un reembolso.,"¡Por supuesto! Entiendo completamente tu necesidad de familiarizarte con los casos en los que podés solicitar un reembolso. Permíteme aclararte esto.

Cuando se trata de reembolsos, hay algunos escenarios comunes en los que podés ser elegible:

1. **Defecto en el Producto/Servicio:** Si el producto o servicio que compraste tiene un defecto o no coincide con la descripción, generalmente tenés la opción de solicitar un reembolso.

2. **Cancelación dentro del Período de Gracia:** Si cambiás de opinión sobre una compra dentro del período de gracia especificado, normalmente podés pedir un reembolso.

3. **Cargos No Autorizados:** Si encontrás cargos en tu cuenta que no autorizaste o no reconocés, estamos aquí para ayudarte a investigar y potencialmente asegurar un reembolso.

4. **Cancelación de Evento:** Entendemos la decepción de que un evento para el cual compraste entradas sea cancelado. En casos donde el evento no se reprograma, podés ser elegible para un reembolso.

5. **Cargos Duplicados:** Los errores ocurren, y si notás cargos duplicados por el mismo artículo, por favor avísanos para que podamos corregir el problema y potencialmente ofrecerte un reembolso.

6. **No Recepción de Bienes:** Si no has recibido el artículo que compraste dentro del plazo esperado, podés calificar para un reembolso.

Es importante tener en cuenta que cada vendedor o proveedor de servicios puede tener sus políticas de reembolso específicas, por lo que es recomendable revisar sus términos y condiciones o contactarlos directamente para obtener más información. Si tenés alguna inquietud respecto a un pedido específico o necesitás ayuda con una posible solicitud de reembolso, por favor proporcioname los detalles necesarios, como el número de pedido, y estaré más que feliz de asistirte.

Recordá, nuestro objetivo es asegurar tu satisfacción y brindarte orientación útil a lo largo de tu experiencia. ¿En qué más puedo ayudarte hoy?"
BLM,I have issues editing my address,SHIPPING,change_shipping_address,"I've taken note that you are experiencing difficulties in editing your address. To help you resolve this issue, please follow these steps:
1. Log in to your account on our website.
2. Navigate to the ""My Account"" section.
3. Click on the ""Edit Address"" button.
4. Make the necessary changes to your address.
5. Save the updated address.
If you encounter any further issues or have any questions, please don't hesitate to reach out to our customer support team for assistance.",Tengo problemas para editar mi dirección.,"He tomado nota de que estás teniendo dificultades para editar tu dirección. Para ayudarte a resolver este problema, por favor sigue estos pasos:
1. Inicia sesión en tu cuenta en nuestro sitio web.
2. Navega a la sección ""Mi Cuenta"".
3. Haz clic en el botón ""Editar Dirección"".
4. Realiza los cambios necesarios en tu dirección.
5. Guarda la dirección actualizada.
Si encuentras algún otro problema o tienes alguna pregunta, no dudes en ponerte en contacto con nuestro equipo de atención al cliente para obtener ayuda."
